Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Seven Ounces,Upper Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/105986204/seven-ounces,2.5,-1,Trad,5.7,1,40,44.14338,-73.75578
Turbocharge,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106055057/turbocharge,2.7,-1,Trad,5.10a,1,70,44.14472,-73.75802
Catharsis,Poke-O Slab > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106887352/catharsis,3.5,-1,Trad,5.6 PG13,4,490,44.39632,-73.50691
Bee Hold,Sunshine City > Spanky's Area > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106768298/bee-hold,3.0,-1,Sport,5.8,1,100,44.127,-73.7236
Hesitation,Upper Washbowl Cliff > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106249924/hesitation,3.1,-1,Trad,5.8 R,4,300,44.14256,-73.7438
A Touch of Class,Moss Cliff > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/106073099/a-touch-of-class,3.8,-1,Trad,5.9,4,400,44.34048,-73.89977
Tombstone,Main Cliff > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106831219/tombstone,3.6,-1,Trad,5.10a,2,140,44.06109,-73.66381
Eat Yourself a Pie,The Barkeater Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106057528/eat-yourself-a-pie,2.9,-1,"Trad, TR",5.8,1,80,44.25695,-73.8634
Five Star Crack,Lost T > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107564752/five-star-crack,3.0,-1,Trad,5.7,1,70,43.2608,-74.5222
Clutch and Cruise,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106078776/clutch-and-cruise,2.6,-1,Trad,5.8,1,80,44.14472,-73.75802
Overture,Upper Washbowl Cliff > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106605409/overture,3.8,-1,Trad,5.10a,3,300,44.14256,-73.7438
Diamond and Coal,Jewels and Gems > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/105989761/diamond-and-coal,2.7,-1,Trad,5.6,1,60,44.13591,-73.73993
CWI,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106488535/cwi,2.3,-1,Trad,5.6,1,50,44.14472,-73.75802
The Great Dihedral,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/107755425/the-great-dihedral,3.7,-1,Trad,5.9+ PG13,3,450,44.40783,-73.50371
Hard Times,Moss Cliff > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/106519281/hard-times,3.8,-1,Trad,5.9,4,380,44.34048,-73.89977
Son of a Mother,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106059309/son-of-a-mother,3.4,-1,Trad,5.10b/c,1,100,44.40783,-73.50371
Tequila Mockingbird,Upper Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/112063076/tequila-mockingbird,3.5,-1,Trad,5.10b,1,120,44.14338,-73.75578
In The Rough,Jewels and Gems > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/105986255/in-the-rough,2.5,-1,Trad,5.7,1,70,44.13591,-73.73993
Romano's Route,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106921980/romanos-route,3.8,-1,Trad,5.11c,1,95,44.1454,-73.75082
Honeybadger,Potter Mountain Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/107708237/honeybadger,3.7,-1,Sport,5.10a,1,90,44.5173,-73.7984
Phase III,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106067931/phase-iii,3.4,-1,Trad,5.9,1,90,44.40783,-73.50371
Wiessner Route,Upper Washbowl Cliff > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106391901/wiessner-route,2.7,-1,Trad,5.6,2,300,44.14256,-73.7438
3.2,Upper Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106526827/32,1.9,-1,"Trad, TR",5.4,1,40,44.14338,-73.75578
White Knight,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107287722/white-knight,3.8,-1,Trad,5.12a,1,90,44.1454,-73.75082
